,발전설비,,,,,총발전량,,,,,소내전력량,,,,송배전손실량,,판매전력량,,,,,,,,,,
연도,수력(MW),화력(MW),원자력(MW),자가용(MW),총계(MW),수력(GWh),화력(GWh),원자력(GWh),자가용(GWh),총계(GWh),소내전력량(GWh),소내전력률(%),양수용전력량(GWh),송전단전력량(GWh),송배전손실량(GWh),송배전손실률(%),판매전력량(GWh),수요성장률(%),최대전력(발전단)(MW),평균전력(MW),부하율(%),이용율(%),열효율(%),평균판매단가(원/kWh),고객호수(천호),종업원수(명),인구1인당 소비전력량(kWh/명)
1982,1201.73,7836.65,1265.683,1234.471,11538.534,2005.249,37337.23,3777.289,4044.23,47164,2153.38,4.99,414.176,40554.66,2675.03,6.6,37879.63,6.9,6661.32,4922.63,73.9,47.8,36.73,69.87,5985.42,20849,963
1981,1201.73,8046.65,587,1193.964,11029.344,2708.53,34600.93,2897.205,3881.64,44088.3,2102.51,5.23,153.95,37950.2,2525.75,6.66,35424.46,8.2,6144.19,4589.8,74.7,46.7,36.39,64.31,5682.34,19579,915
1980,1156.73,7647.1,587,984.39,10375.22,1984.09,31777.39,3477.154,2838.92,40077.56,2056.46,5.52,99.315,35082.86,2348.44,6.69,32734.42,5.1,5457.2,4239.37,77.7,45.1,35.63,50.88,5484.83,18526,859
1979,911.73,6534.1,587,885.07,8917.9,2328.529,30119.51,3151.904,2670.45,38270.39,1831.33,5.14,99.97,33668.65,2523.93,7.5,31144.71,14,5353.38,4063.92,75.9,50.6,34.93,32.17,5243.77,18624,830
1978,711.73,5617.1,587,811.318,7727.148,1807.524,27378.08,2324.376,1902.08,33412.06,1600.78,5.08,65.602,29843.6,2517.28,8.43,27326.33,19.7,5117.52,3597.03,70.3,52,34,22.38,4935.16,16576,739
1977,711.08,5079.1,,516.232,6306.412,1392.729,25122.55,71.466,1433.84,28020.59,1376.45,5.18,38.765,25171.53,2338.44,9.29,22833.1,16.4,4187.13,3035.02,72.5,52.4,34.31,21.81,4659.28,15930,627
1976,711.08,4098.65,,490.085,5299.815,1788.661,21328.04,,1300.68,24417.38,1197.56,5.18,0.242,21918.9,2298.6,10.49,19620.3,18,3806.6,2631.68,69.1,54.7,34.28,19.43,4237.29,14988,547
1975,621.08,4098.65,,413.496,5133.226,1682.809,18154.44,,1016.74,20853.99,1085.52,5.47,,18751.73,2121.37,11.31,16630.35,18.4,3350.63,2264.53,67.6,48,33.7,17.1,3938.82,13959,471
1974,621.08,3901.86,,399.651,4922.591,1905.858,14918.96,,1019.15,17843.97,923.021,5.48,,15911.8,1863.75,11.71,14048.05,13.6,2921.99,1921.78,65.8,42.5,33.5,10.64,3427.69,13092,405
1973,621.08,3650.79,,360.837,4632.707,1284.465,13541.39,,938.283,15764.14,870.133,5.87,,13955.72,1588.86,11.38,12366.87,23.8,2556.48,1692.45,66.2,39.6,33.33,7.3,2999.11,11629,363
1972,341.08,3430.965,,303.58,4075.625,1368.076,10471.28,,611.897,12451.25,631.712,5.34,,11207.64,1215.29,10.84,9992.35,12.5,2097.33,1347.83,64.3,34.8,33.66,7.36,2596.91,11212,298
1971,341.28,2286.765,,244.346,2872.391,1319.976,9220.12,,601.739,11141.83,511.82,4.86,,10028.27,1144.68,11.42,8883.59,14.8,1776.54,1203.21,67.7,45.8,32.39,6.41,2355.62,11940,270
1970,328.68,2179.365,,225.806,2733.851,1220.684,7946.76,,598.946,9766.39,387.702,4.23,,8779.74,1039.8,11.84,7739.94,21.7,1555,1046.51,67.3,41.7,31.25,6.34,2025.17,12440,240
1969,328.68,1307.065,,209.74,1845.485,1428.512,6271.46,,501.158,8201.13,351.611,4.57,,7348.36,990.557,13.48,6357.8,31.1,1340.04,878.992,65.6,53.7,28.64,5.86,1784.1,12983,202
1968,327.48,946.765,,190.659,1464.904,929.483,5122.21,,535.986,6587.68,282.225,4.68,,5743.66,893.233,15.55,4850.42,24.3,1079.75,686.006,63.5,53.8,26.32,6.04,1636.11,12168,157
1967,300.48,616.765,,117.611,1034.856,953.171,3962.21,,384.784,5300.17,241.74,4.92,,4671.39,768.478,16.45,3902.91,29.7,778.478,560.859,72,61.1,25.86,5.57,1525.28,11242,130
1966,215.48,554.005,,104.141,873.626,985.322,2900.49,,348.929,4234.74,213.265,5.49,,3672.54,664.06,18.08,3008.48,22.1,696.472,443.585,63.7,57.6,26.38,5.37,1330.96,10209,102
1965,215.48,554.005,,103.606,873.091,710.427,2539.51,,316.555,3566.49,200.375,6.17,,3049.56,585.875,19.21,2463.69,20.6,602.231,370.998,61.6,48.3,26.07,4.72,1198.85,11981,86
1964,143.48,454.005,,102.256,699.741,749.905,1950.33,,284.862,2985.1,148.057,5.48,,2551.97,508.552,19.93,2043.41,20.5,492.313,307.38,62.4,51.4,24.2,3.68,1069.69,11715,73
1963,143.48,321.994,,92.946,558.42,727.829,1536.27,,266.501,2530.6,102.831,4.6,,2133.56,437.938,20.53,1695.62,15.3,392.558,255.295,65,54.8,22.92,3.28,959.653,11169,62
1962,143.48,290.564,,87.026,521.07,702.341,1276.62,,186.323,2165.28,87.642,4.43,,1890.86,420.764,22.25,1470.1,23.6,342.995,225.857,65.8,52,23.8,3.47,875.577,10719,55
1961,143.48,223.774,,59.033,426.287,652.611,1120.31,,163.497,1936.42,89.337,5.04,,1683.58,494.198,29.35,1189.39,,305.686,202.388,66.2,55.1,22.64,3.22,797.252,10095,46
1960,0,0,0,0,367.254,0,0,0,0,1696.951,87.83,5,0,1611.613,457.275,28,1154.338,3,288.06,193.187,67,52,0,8,759125,8080,141
1959,0,0,0,0,367.254,0,0,0,0,1686.237,75.384,5,0,1613.052,492.103,31,1120.949,17,282.4,192.493,68,52,0,8,724415,7999,140
1958,0,0,0,0,367.254,0,0,0,0,1511.674,74.789,5,0,1438.912,484.667,34,954.245,23,280.28,172.565,62,46,0,8,682577,7860,173
1957,0,0,0,0,367.254,0,0,0,0,1323.013,76.699,6,0,1248.171,475.368,38,772.803,15,260.3,151.029,50,41,0,8,660402,7921,139
1956,0,0,0,0,344.654,0,0,0,0,1118.308,59.135,5,0,1060.352,387.25,37,673.102,19,215.32,127.312,59,34,0,3,655918,,
1955,0,0,0,0,300.599,0,0,0,0,879.272,44.263,5,0,841.127,277.766,33,563.361,-0.69,143.72,100.374,70,29,0,3,604760,,
1954,0,0,0,0,298.039,0,0,0,0,899.096,41.748,5,0,857.348,37.918,4,567.284,,149.86,102.637,69,30,0,,590192,,
1953,0,0,0,0,281.559,0,0,0,0,736.065,39.556,5,0,696.509,33.745,5,0,,124.6,84.025,67,26,0,,,,
1952,0,0,0,0,281.559,0,0,0,0,639.676,40.995,6,0,593.131,31.348,5,0,,117,72.823,62,,0,,,,
1951,0,0,0,0,264.559,0,0,0,0,336.629,23.559,7,0,291.024,8.188,3,0,,59,38.428,65,,0,,,,
1950,0,0,0,0,231.059,0,0,0,0,420.651,38.332,9,0,380.119,10.339,3,0,,74,48.019,65,,0,,,,
1949,0,0,0,0,230.059,0,0,0,0,654.969,47.924,7,0,519.992,24.91,5,0,,115,74.763,65,,0,,,,
1948,0,0,0,0,226.059,0,0,0,0,696.999,27.821,4,0,460.249,23.862,5,0,,122,79.007,65,,0,,,,
1947,0,0,0,0,199.159,0,0,0,0,828.76,20.183,2,0,747.734,16.999,2,0,,146,94.607,65,,0,,,,
1946,0,0,0,0,199.159,0,0,0,0,676.124,10.335,2,0,565.911,14.711,3,0,,119,77.183,65,,0,,,,
1945,0,0,0,0,199.159,0,0,0,0,711.327,0,,0,0,0,,0,,115,81.202,71,,0,,,,
